Y_dimension(mm),Button,True_depth(m),meas
105.785,0.0,151.0857875,6.8666500000000005e-09
105.785,0.0,151.0855375,6.98287e-09
105.785,0.0,151.0852875,7.023123333333334e-09
105.785,0.0,151.0850375,6.75992e-09
105.785,0.0,151.0847875,5.9172e-09
105.785,0.0,151.0845375,6.41246e-09
105.785,0.0,151.0842875,6.9969300000000006e-09
105.785,0.0,151.0840375,7.46771e-09
105.785,0.0,151.0837875,8.362585e-09
105.785,0.0,151.0835375,9.76683e-09
105.785,0.0,151.0832875,1.135115e-08
105.785,0.0,151.0830375,1.30813e-08
105.785,0.0,151.0827875,1.4828366666666666e-08
105.785,0.0,151.0825375,1.64169e-08
105.785,0.0,151.0822875,1.71997e-08
105.785,0.0,151.0820375,1.799985e-08
105.785,0.0,151.0817875,1.913e-08
105.785,0.0,151.0815375,2.05299e-08
105.785,0.0,151.0812875,2.13744e-08
105.785,0.0,151.0810375,2.24685e-08
105.785,0.0,151.08078749999999,2.438665e-08
105.785,0.0,151.0805375,3.085355e-08
105.785,0.0,151.0802875,3.297955e-08
105.785,0.0,151.0800375,3.4635000000000005e-08
105.785,0.0,151.0797875,3.653395e-08
105.785,0.0,151.0795375,3.81867e-08
105.785,0.0,151.0792875,3.962495e-08
105.785,0.0,151.0790375,4.140445e-08
105.785,0.0,151.0787875,4.304475e-08
105.785,0.0,151.0785375,4.471355e-08
105.785,0.0,151.0782875,4.592945000000001e-08
105.785,0.0,151.0780375,4.718200000000001e-08
105.785,0.0,151.0777875,4.79715e-08
105.785,0.0,151.0775375,4.9104300000000004e-08
105.785,0.0,151.0772875,4.98311e-08
105.785,0.0,151.0770375,5.0538950000000004e-08
105.785,0.0,151.0767875,5.123625e-08
105.785,0.0,151.0765375,5.21228e-08
105.785,0.0,151.0762875,5.27254e-08
105.785,0.0,151.0760375,5.316835e-08
105.785,0.0,151.0757875,5.40308e-08
105.785,0.0,151.0755375,5.41183e-08
105.785,0.0,151.0752875,5.434775e-08
105.785,0.0,151.0750375,5.46305e-08
105.785,0.0,151.0747875,5.4731e-08
105.785,0.0,151.0745375,5.49158e-08
105.785,0.0,151.0742875,5.50263e-08
105.785,0.0,151.0740375,5.509395e-08
105.785,0.0,151.0737875,5.5468000000000004e-08
105.785,0.0,151.0735375,5.558280000000001e-08
105.785,0.0,151.0732875,5.55775e-08
105.785,0.0,151.0730375,5.577565e-08
105.785,0.0,151.0727875,5.54618e-08
105.785,0.0,151.0725375,5.57635e-08
105.785,0.0,151.0722875,5.564275e-08
105.785,0.0,151.0720375,5.54336e-08
105.785,0.0,151.0717875,5.532365e-08
105.785,0.0,151.0715375,5.528285000000001e-08
105.785,0.0,151.0712875,5.502435e-08
105.785,0.0,151.0710375,5.515015e-08
105.785,0.0,151.0707875,5.52092e-08
105.785,0.0,151.0705375,5.51103e-08
105.785,0.0,151.0702875,5.4847e-08
