Y_dimension(mm),Button,True_depth(m),meas
118.207,0.0,186.40818906249999,2.082135e-05
118.207,0.0,186.40818906249999,-3.479232e-06
118.207,0.0,186.40818906249999,-2.550849e-06
118.207,0.0,186.40809510585467,-1.957756e-06
118.207,0.0,186.40791789471143,-1.510169e-06
118.207,0.0,186.40767027459424,-1.163935e-06
118.207,0.0,186.40741874544202,-8.935895e-07
118.207,0.0,186.40710753848833,-6.851769e-07
118.207,0.0,186.40675165204183,-5.244219e-07
118.207,0.0,186.40639273516166,-3.978639e-07
118.207,0.0,186.40596109151736,-3.029418e-07
118.207,0.0,186.40554904874776,-2.28727e-07
118.207,0.0,186.40513950546315,-1.713342e-07
118.207,0.0,186.40473184978654,-1.252192e-07
118.207,0.0,186.40429580275452,-9.209907e-08
118.207,0.0,186.40390028688086,-6.738992e-08
118.207,0.0,186.40346388926787,-4.631875e-08
118.207,0.0,186.403044472137,-2.88419e-08
118.207,0.0,186.40263875706142,-1.685112e-08
118.207,0.0,186.40221745550323,-8.702045e-09
118.207,0.0,186.40179605904476,-2.532033e-09
118.207,0.0,186.40140188876404,5.486072e-09
118.207,0.0,186.40096610554957,8.716597e-09
118.207,0.0,186.40054987613632,1.085573e-08
118.207,0.0,186.40013808927753,1.228182e-08
118.207,0.0,186.39972966765944,1.59198e-08
118.207,0.0,186.3992906424334,1.741864e-08
118.207,0.0,186.3988869124752,1.549779e-08
118.207,0.0,186.39848033362114,1.759327e-08
118.207,0.0,186.39803459766875,1.93686e-08
118.207,0.0,186.39761726451408,1.750595e-08
118.207,0.0,186.3972027597071,1.797162e-08
118.207,0.0,186.39677896933927,1.851004e-08
118.207,0.0,186.39636918383073,1.884473e-08
118.207,0.0,186.39597016567396,1.708395e-08
118.207,0.0,186.39552290013924,1.721492e-08
118.207,0.0,186.39510805933912,1.8641e-08
118.207,0.0,186.39469561372374,1.848093e-08
118.207,0.0,186.3942670508366,1.945591e-08
118.207,0.0,186.39385475821865,1.682201e-08
118.207,0.0,186.39345462281693,1.811713e-08
118.207,0.0,186.3930129068833,1.628359e-08
118.207,0.0,186.39260480163802,1.789886e-08
118.207,0.0,186.39219412096418,1.696753e-08
118.207,0.0,186.39175999106942,1.501758e-08
118.207,0.0,186.39136692321887,1.581793e-08
118.207,0.0,186.39093103341264,1.674925e-08
118.207,0.0,186.39052137095092,1.664739e-08
118.207,0.0,186.39010368747108,1.628359e-08
118.207,0.0,186.38966699308523,1.40717e-08
118.207,0.0,186.38926174134167,1.696753e-08
118.207,0.0,186.388849021434,1.48284e-08
118.207,0.0,186.38842435090856,1.494482e-08
118.207,0.0,186.3880144073774,1.388253e-08
118.207,0.0,186.38756755427343,1.532317e-08
118.207,0.0,186.38715451950375,1.63127e-08
118.207,0.0,186.3867466681534,1.351873e-08
118.207,0.0,186.3863286306044,1.421722e-08
118.207,0.0,186.38590565191922,1.309672e-08
118.207,0.0,186.3854992413675,1.452281e-08
118.207,0.0,186.38505960971077,1.488661e-08
118.207,0.0,186.38464901341735,1.362059e-08
118.207,0.0,186.38424500379148,5.534093e-08
118.207,0.0,186.3838112244549,1.29512e-07
118.207,0.0,186.38341035697368,2.235902e-07
118.207,0.0,186.3830017198109,2.373708e-07
118.207,0.0,186.38257830724757,1.983426e-07
118.207,0.0,186.38214721254167,2.940506e-07
118.207,0.0,186.3817406959119,2.519082e-07
118.207,0.0,186.38134049857638,3.289751e-07
118.207,0.0,186.38090617718754,2.721354e-07
118.207,0.0,186.38049599204695,1.838489e-07
118.207,0.0,186.38008548807272,4.226167e-07
118.207,0.0,186.3796680650932,6.821356e-07
118.207,0.0,186.37921619310416,8.087372e-07
118.207,0.0,186.37882709877,7.302733e-07
118.207,0.0,186.37840359081233,3.902969e-07
118.207,0.0,186.37800610364116,1.716253e-07
118.207,0.0,186.37755998292968,1.181179e-07
118.207,0.0,186.37713065690838,8.041388e-08
118.207,0.0,186.37673246580079,7.502967e-08
118.207,0.0,186.37631479959418,1.45621e-07
118.207,0.0,186.37589704096766,2.956949e-07
118.207,0.0,186.37549402561953,4.088943e-07
118.207,0.0,186.37505705903897,4.846952e-07
118.207,0.0,186.3746269752993,5.645416e-07
118.207,0.0,186.374223435645,5.707407e-07
118.207,0.0,186.3737966064066,5.476759e-07
118.207,0.0,186.37337757482373,5.176553e-07
118.207,0.0,186.3729735839016,5.808979e-07
118.207,0.0,186.37255211487917,7.582421e-07
118.207,0.0,186.3721310843843,7.173076e-07
118.207,0.0,186.37170011354786,5.51765e-07
118.207,0.0,186.37130254738491,6.154296e-07
118.207,0.0,186.3708965940356,5.714683e-07
118.207,0.0,186.37046368297078,6.514165e-07
118.207,0.0,186.37006069447278,7.185299e-07
118.207,0.0,186.3696245604043,6.251357e-07
118.207,0.0,186.36919114801685,5.079492e-07
118.207,0.0,186.36879197597847,5.150359e-07
118.207,0.0,186.36838783824032,5.98724e-07
118.207,0.0,186.36795430519047,6.208138e-07
118.207,0.0,186.3675180844031,6.273185e-07
118.207,0.0,186.36709770771137,5.895417e-07
118.207,0.0,186.3666831073746,5.738839e-07
118.207,0.0,186.3662383601484,5.978218e-07
118.207,0.0,186.36585306259565,5.719194e-07
118.207,0.0,186.36545493845662,5.448819e-07
118.207,0.0,186.36501801386808,5.047477e-07
118.207,0.0,186.36460215833262,5.390757e-07
118.207,0.0,186.364181783796,5.784677e-07
118.207,0.0,186.3637553383228,6.000337e-07
118.207,0.0,186.3633733536049,5.198963e-07
118.207,0.0,186.36294304273744,5.027396e-07
