Y_dimension(mm),Button,True_depth(m),meas
91.065,0.0,0.9286390625000001,2.046849e-05
91.065,0.0,0.9286390625000001,-3.488778e-06
91.065,0.0,0.9286257318612557,-2.559565e-06
91.065,0.0,0.9284675774907201,-1.966589e-06
91.065,0.0,0.9282837301713502,-1.516004e-06
91.065,0.0,0.928062462194477,-1.168373e-06
91.065,0.0,0.9277962372669676,-8.97242e-07
91.065,0.0,0.9274872781071449,-6.888877e-07
91.065,0.0,0.9271496446314694,-5.287147e-07
91.065,0.0,0.9267614230314557,-4.032627e-07
91.065,0.0,0.9263538906903125,-3.058085e-07
91.065,0.0,0.9259300379672483,-2.318557e-07
91.065,0.0,0.9255303147968964,-1.734734e-07
91.065,0.0,0.9250941311851834,-1.305161e-07
91.065,0.0,0.9246623648292427,-9.784708e-08
91.065,0.0,0.924281403199065,-7.210474e-08
91.065,0.0,0.9238604694697847,-5.008769e-08
91.065,0.0,0.9234254283937694,-3.317837e-08
91.065,0.0,0.9230237898078177,-2.034358e-08
91.065,0.0,0.9225844446597959,-9.720679e-09
91.065,0.0,0.9221857165295566,-3.215973e-09
91.065,0.0,0.9217647117902412,1.455192e-09
91.065,0.0,0.9213421462098573,4.365575e-09
91.065,0.0,0.9209382395395004,6.8394e-09
91.065,0.0,0.9205134839616208,1.091394e-08
91.065,0.0,0.9200893886719954,1.164153e-08
91.065,0.0,0.9196520988741085,1.394073e-08
91.065,0.0,0.9192594425086831,1.504668e-08
91.065,0.0,0.9188214028519446,1.610897e-08
91.065,0.0,0.9184159797832234,1.641456e-08
91.065,0.0,0.9180002870022906,1.685112e-08
91.065,0.0,0.9175755704364249,1.682201e-08
91.065,0.0,0.9171585600971338,1.769513e-08
91.065,0.0,0.9167266436616492,1.769513e-08
91.065,0.0,0.9163217351806947,1.395529e-08
91.065,0.0,0.915906182947709,1.428998e-08
91.065,0.0,0.9155015155578299,1.437729e-08
91.065,0.0,0.9150720676303687,1.686567e-08
91.065,0.0,0.9146338228690547,1.887383e-08
91.065,0.0,0.9142443123176852,1.635635e-08
91.065,0.0,0.9138413764901585,1.398439e-08
91.065,0.0,0.9134140389195505,1.666194e-08
91.065,0.0,0.9129838092262506,1.647277e-08
91.065,0.0,0.912557729492064,2.12458e-08
91.065,0.0,0.9121493461064419,2.329762e-08
91.065,0.0,0.9117239355269777,2.152228e-08
91.065,0.0,0.9113168630467828,1.778244e-08
91.065,0.0,0.9109205612368815,1.664739e-08
91.065,0.0,0.9104735196791939,1.693843e-08
91.065,0.0,0.9100602404747604,2.987508e-08
91.065,0.0,0.9096205974660226,2.988963e-08
91.065,0.0,0.9092229743487688,2.425804e-08
91.065,0.0,0.9088101946678591,2.577144e-08
91.065,0.0,0.9083830340397817,2.69938e-08
91.065,0.0,0.9079451949895458,2.955494e-08
91.065,0.0,0.9075435545103115,2.949673e-08
91.065,0.0,0.9071054174043482,2.107117e-08
91.065,0.0,0.9067058867673767,1.964509e-08
91.065,0.0,0.906292494819758,1.781154e-08
91.065,0.0,0.9058726804207161,1.970329e-08
91.065,0.0,0.9054445771429867,2.879824e-08
91.065,0.0,0.9050477641236149,3.272726e-08
91.065,0.0,0.904592318714614,2.866727e-08
91.065,0.0,0.9042126074203257,3.060268e-08
91.065,0.0,0.9038000235383666,3.399327e-08
91.065,0.0,0.9033729979005413,3.776222e-08
91.065,0.0,0.9029645685602143,3.335299e-08
91.065,0.0,0.9025385327966747,3.822788e-08
91.065,0.0,0.9021059247939446,3.981404e-08
91.065,0.0,0.9017175645631315,3.732566e-08
91.065,0.0,0.9012901682596387,5.496258e-08
91.065,0.0,0.9008673012404353,3.736932e-08
91.065,0.0,0.9004706552784887,3.242167e-08
91.065,0.0,0.9000357782993469,2.815796e-08
91.065,0.0,0.8996001908821942,2.856541e-08
91.065,0.0,0.8991742426761639,1.78261e-08
91.065,0.0,0.8987631841066137,1.727312e-08
91.065,0.0,0.8983751763420091,1.309672e-08
91.065,0.0,0.8979365310273777,1.405715e-08
91.065,0.0,0.8975152501905085,1.258741e-08
91.065,0.0,0.8971015661112532,1.334411e-08
91.065,0.0,0.8966690763918281,3.22907e-08
91.065,0.0,0.8962637582238675,1.242734e-08
91.065,0.0,0.8958581141390842,1.418812e-08
91.065,0.0,0.8954250714771214,1.175795e-08
91.065,0.0,0.8950234254104749,1.21945e-08
91.065,0.0,0.8945830876847768,1.040462e-08
91.065,0.0,0.8941859674561854,8.498318e-09
91.065,0.0,0.8937667676852964,9.778887e-09
91.065,0.0,0.8933386179483337,1.043372e-08
91.065,1.0,0.8929392085513305,9.400537e-09
91.065,1.0,0.8925099517502435,8.440111e-09
91.065,1.0,0.8920685891592169,9.109499e-09
91.065,1.0,0.8916688975219818,1.212175e-08
