Y_dimension(mm),Button,True_depth(m),meas
58.556,0.0,14.4737671875,8.57882e-09
58.556,0.0,14.4735171875,7.36227e-09
58.556,0.0,14.4732671875,8.41324e-09
58.556,0.0,14.4730171875,9.86228e-09
58.556,0.0,14.4727671875,7.10076e-09
58.556,0.0,14.4725171875,9.25761e-09
58.556,0.0,14.4722671875,9.040215e-09
58.556,0.0,14.4720171875,9.675815e-09
58.556,0.0,14.471767187500001,1.13678e-08
58.556,0.0,14.4715171875,1.119425e-08
58.556,0.0,14.4712671875,7.87135e-09
58.556,0.0,14.471017187500001,1.158345e-08
58.556,0.0,14.4707671875,9.86634e-09
58.556,0.0,14.4705171875,1.05247e-08
58.556,0.0,14.470267187500001,1.33029e-08
58.556,0.0,14.4700171875,1.14564e-08
58.556,0.0,14.4697671875,1.044e-08
58.556,0.0,14.469517187500001,1.30392e-08
58.556,0.0,14.4692671875,1.17926e-08
58.556,0.0,14.4690171875,1.17221e-08
58.556,0.0,14.468767187500001,1.2881e-08
58.556,0.0,14.4685171875,1.04916e-08
58.556,0.0,14.4682671875,1.7465e-08
58.556,0.0,14.468017187500001,1.255305e-08
58.556,0.0,14.4677671875,1.09948e-08
58.556,0.0,14.4675171875,1.315435e-08
58.556,0.0,14.467267187500001,1.299e-08
58.556,0.0,14.4670171875,1.22174e-08
58.556,0.0,14.4667671875,1.5469e-08
58.556,0.0,14.466517187500001,1.370445e-08
58.556,0.0,14.4662671875,1.495315e-08
58.556,0.0,14.4660171875,1.3439650000000001e-08
58.556,0.0,14.465767187500001,1.3243e-08
58.556,0.0,14.4655171875,1.542155e-08
58.556,0.0,14.4652671875,1.39724e-08
58.556,0.0,14.4650171875,1.61777e-08
58.556,0.0,14.4647671875,1.65276e-08
58.556,0.0,14.4645171875,1.89388e-08
58.556,0.0,14.4642671875,1.65092e-08
58.556,0.0,14.4640171875,1.7487850000000006e-08
58.556,0.0,14.4637671875,1.42474e-08
58.556,0.0,14.4635171875,1.3931800000000001e-08
58.556,0.0,14.4632671875,1.46168e-08
58.556,0.0,14.4630171875,1.44855e-08
58.556,0.0,14.4627671875,1.60775e-08
58.556,0.0,14.4625171875,1.503035e-08
58.556,0.0,14.4622671875,1.500475e-08
58.556,0.0,14.4620171875,1.448185e-08
58.556,0.0,14.4617671875,1.40597e-08
58.556,0.0,14.4615171875,1.54389e-08
58.556,0.0,14.4612671875,1.5477650000000002e-08
58.556,0.0,14.4610171875,1.521215e-08
58.556,0.0,14.4607671875,1.55058e-08
58.556,0.0,14.4605171875,1.530545e-08
58.556,0.0,14.4602671875,1.76476e-08
58.556,0.0,14.4600171875,1.642135e-08
58.556,0.0,14.4597671875,1.56811e-08
58.556,0.0,14.4595171875,1.521335e-08
58.556,0.0,14.4592671875,1.45613e-08
58.556,0.0,14.4590171875,1.40351e-08
58.556,0.0,14.458767187500001,1.6241e-08
58.556,0.0,14.4585171875,1.31363e-08
58.556,0.0,14.4582671875,1.46547e-08
58.556,0.0,14.458017187500001,1.6061e-08
58.556,0.0,14.4577671875,1.55929e-08
58.556,0.0,14.4575171875,1.37785e-08
58.556,0.0,14.457267187500001,1.54525e-08
58.556,0.0,14.4570171875,1.4735e-08
58.556,0.0,14.4567671875,1.54739e-08
58.556,0.0,14.456517187500001,1.638115e-08
58.556,0.0,14.4562671875,1.36691e-08
58.556,0.0,14.4560171875,1.51194e-08
58.556,0.0,14.455767187500001,1.48868e-08
58.556,0.0,14.4555171875,1.513595e-08
58.556,0.0,14.4552671875,1.4434300000000002e-08
58.556,0.0,14.455017187500001,1.45476e-08
58.556,0.0,14.4547671875,1.49161e-08
58.556,0.0,14.4545171875,1.592405e-08
58.556,0.0,14.454267187500001,1.442105e-08
58.556,0.0,14.4540171875,1.39883e-08
