Y_dimension(mm),Button,True_depth(m),meas
49.464,0.0,16.3439875,1.4332833333333334e-08
49.464,0.0,16.3437375,1.43527e-08
49.464,0.0,16.3434875,1.51365e-08
49.464,0.0,16.3432375,1.44838e-08
49.464,0.0,16.3429875,1.428735e-08
49.464,0.0,16.3427375,1.4655300000000001e-08
49.464,0.0,16.3424875,1.45072e-08
49.464,0.0,16.3422375,1.43032e-08
49.464,0.0,16.3419875,1.432905e-08
49.464,0.0,16.3417375,1.395855e-08
49.464,0.0,16.3414875,1.43049e-08
49.464,0.0,16.3412375,1.41398e-08
49.464,0.0,16.3409875,1.41311e-08
49.464,0.0,16.3407375,1.409205e-08
49.464,0.0,16.3404875,1.3917e-08
49.464,0.0,16.3402375,1.451935e-08
49.464,0.0,16.3399875,1.41343e-08
49.464,0.0,16.3397375,1.37272e-08
49.464,0.0,16.3394875,1.42213e-08
49.464,0.0,16.3392375,1.38601e-08
49.464,0.0,16.3389875,1.41175e-08
49.464,0.0,16.3387375,1.371295e-08
49.464,0.0,16.3384875,1.40314e-08
49.464,0.0,16.338237499999998,1.402145e-08
49.464,0.0,16.3379875,1.42699e-08
49.464,0.0,16.3377375,1.35022e-08
49.464,0.0,16.3374875,1.35378e-08
49.464,0.0,16.3372375,1.34959e-08
49.464,0.0,16.3369875,1.303345e-08
49.464,0.0,16.336737499999998,1.3492e-08
49.464,0.0,16.3364875,1.37468e-08
49.464,0.0,16.3362375,1.36237e-08
49.464,0.0,16.3359875,1.374865e-08
49.464,0.0,16.3357375,1.44139e-08
49.464,0.0,16.3354875,1.39045e-08
49.464,0.0,16.3352375,1.3845e-08
49.464,0.0,16.3349875,1.351715e-08
49.464,0.0,16.3347375,1.37565e-08
49.464,0.0,16.3344875,1.396195e-08
49.464,0.0,16.3342375,1.28782e-08
49.464,0.0,16.3339875,1.352615e-08
49.464,0.0,16.3337375,1.35385e-08
49.464,0.0,16.3334875,1.317755e-08
49.464,0.0,16.3332375,1.35875e-08
49.464,0.0,16.3329875,1.37084e-08
49.464,0.0,16.3327375,1.35453e-08
49.464,0.0,16.3324875,1.34023e-08
49.464,0.0,16.3322375,1.39985e-08
49.464,0.0,16.3319875,1.33046e-08
49.464,0.0,16.3317375,1.30019e-08
49.464,0.0,16.3314875,1.268785e-08
49.464,0.0,16.3312375,1.32613e-08
49.464,0.0,16.3309875,1.307145e-08
49.464,0.0,16.3307375,1.32108e-08
49.464,0.0,16.3304875,1.330155e-08
49.464,0.0,16.3302375,1.32151e-08
49.464,0.0,16.3299875,1.3251800000000001e-08
49.464,0.0,16.3297375,1.32394e-08
49.464,0.0,16.3294875,1.31982e-08
49.464,0.0,16.3292375,1.29589e-08
49.464,0.0,16.3289875,1.2650800000000001e-08
49.464,0.0,16.3287375,1.26517e-08
49.464,0.0,16.3284875,1.33438e-08
49.464,0.0,16.3282375,1.28611e-08
49.464,0.0,16.3279875,1.2874e-08
49.464,0.0,16.3277375,1.32115e-08
49.464,0.0,16.3274875,1.279885e-08
49.464,0.0,16.3272375,1.28298e-08
49.464,0.0,16.3269875,1.299255e-08
49.464,0.0,16.3267375,1.30774e-08
49.464,0.0,16.3264875,1.31664e-08
49.464,0.0,16.3262375,1.26812e-08
49.464,0.0,16.3259875,1.311475e-08
49.464,0.0,16.3257375,1.27928e-08
49.464,0.0,16.3254875,1.27764e-08
49.464,0.0,16.3252375,1.319805e-08
49.464,0.0,16.3249875,1.28045e-08
49.464,0.0,16.3247375,1.29835e-08
49.464,0.0,16.3244875,1.28498e-08
49.464,0.0,16.3242375,1.28797e-08
49.464,0.0,16.3239875,1.285195e-08
49.464,0.0,16.3237375,1.37785e-08
49.464,0.0,16.3234875,1.324245e-08
49.464,0.0,16.3232375,1.297955e-08
49.464,0.0,16.3229875,1.26776e-08
49.464,0.0,16.3227375,1.23701e-08
49.464,0.0,16.3224875,1.26877e-08
49.464,0.0,16.3222375,1.250195e-08
49.464,0.0,16.3219875,1.270405e-08
49.464,0.0,16.3217375,1.26316e-08
49.464,0.0,16.3214875,1.34316e-08
49.464,0.0,16.3212375,1.25161e-08
49.464,0.0,16.3209875,1.239055e-08
49.464,0.0,16.3207375,1.23182e-08
49.464,0.0,16.3204875,1.23874e-08
49.464,0.0,16.3202375,1.249875e-08
49.464,0.0,16.3199875,1.268795e-08
49.464,0.0,16.3197375,1.22076e-08
49.464,0.0,16.3194875,1.238965e-08
49.464,0.0,16.3192375,1.18174e-08
49.464,0.0,16.3189875,1.17934e-08
49.464,0.0,16.3187375,1.21501e-08
49.464,0.0,16.3184875,1.261815e-08
49.464,0.0,16.3182375,1.21747e-08
49.464,0.0,16.3179875,1.232525e-08
49.464,0.0,16.3177375,1.29611e-08
49.464,0.0,16.3174875,1.21071e-08
49.464,0.0,16.3172375,1.221075e-08
49.464,0.0,16.3169875,1.2072e-08
49.464,0.0,16.3167375,1.21743e-08
49.464,0.0,16.3164875,1.173845e-08
49.464,0.0,16.3162375,1.201085e-08
49.464,0.0,16.3159875,1.1771e-08
49.464,0.0,16.3157375,1.220715e-08
49.464,0.0,16.3154875,1.24349e-08
49.464,0.0,16.3152375,1.192065e-08
49.464,0.0,16.3149875,1.16178e-08
49.464,0.0,16.3147375,1.2031500000000001e-08
49.464,0.0,16.3144875,1.1815e-08
49.464,0.0,16.3142375,1.201e-08
49.464,0.0,16.3139875,1.22518e-08
49.464,0.0,16.3137375,1.18373e-08
49.464,0.0,16.3134875,1.221265e-08
49.464,0.0,16.3132375,1.16108e-08
49.464,0.0,16.3129875,1.214805e-08
49.464,0.0,16.3127375,1.20017e-08
49.464,0.0,16.3124875,1.1852e-08
49.464,0.0,16.3122375,1.21804e-08
49.464,0.0,16.3119875,1.20617e-08
49.464,0.0,16.3117375,1.22562e-08
49.464,0.0,16.3114875,1.185515e-08
49.464,0.0,16.3112375,1.198965e-08
49.464,0.0,16.3109875,1.23282e-08
49.464,0.0,16.3107375,1.20611e-08
49.464,0.0,16.3104875,1.15362e-08
49.464,0.0,16.3102375,1.23723e-08
49.464,0.0,16.3099875,1.23468e-08
49.464,0.0,16.3097375,1.26204e-08
49.464,0.0,16.3094875,1.21375e-08
49.464,0.0,16.3092375,1.21309e-08
49.464,0.0,16.3089875,1.26819e-08
49.464,0.0,16.3087375,1.213925e-08
49.464,0.0,16.3084875,1.21963e-08
49.464,0.0,16.3082375,1.184255e-08
49.464,0.0,16.3079875,1.19707e-08
49.464,0.0,16.3077375,1.247875e-08
49.464,0.0,16.3074875,1.17627e-08
49.464,0.0,16.3072375,1.21772e-08
49.464,0.0,16.306987499999998,1.187295e-08
49.464,0.0,16.3067375,1.20856e-08
49.464,0.0,16.3064875,1.18784e-08
49.464,0.0,16.3062375,1.202025e-08
49.464,0.0,16.3059875,1.18917e-08
49.464,0.0,16.3057375,1.26202e-08
49.464,0.0,16.305487499999998,1.19722e-08
49.464,0.0,16.3052375,1.19338e-08
49.464,0.0,16.3049875,1.20125e-08
49.464,0.0,16.3047375,1.18641e-08
49.464,0.0,16.3044875,1.21379e-08
49.464,0.0,16.3042375,1.22788e-08
49.464,0.0,16.3039875,1.20881e-08
49.464,0.0,16.3037375,1.21552e-08
49.464,0.0,16.3034875,1.25418e-08
49.464,0.0,16.3032375,1.20874e-08
49.464,0.0,16.3029875,1.182785e-08
49.464,0.0,16.3027375,1.196885e-08
49.464,0.0,16.3024875,1.17417e-08
49.464,0.0,16.3022375,1.214245e-08
49.464,0.0,16.3019875,1.20246e-08
49.464,0.0,16.3017375,1.185705e-08
49.464,0.0,16.3014875,1.170985e-08
49.464,0.0,16.3012375,1.18476e-08
49.464,0.0,16.3009875,1.14605e-08
49.464,0.0,16.3007375,1.21146e-08
49.464,0.0,16.3004875,1.20057e-08
49.464,0.0,16.3002375,1.212475e-08
49.464,0.0,16.2999875,1.19147e-08
49.464,0.0,16.2997375,1.173085e-08
49.464,0.0,16.2994875,1.20626e-08
49.464,0.0,16.2992375,1.18872e-08
49.464,0.0,16.2989875,1.22138e-08
49.464,0.0,16.2987375,1.23114e-08
49.464,0.0,16.2984875,1.25384e-08
49.464,0.0,16.2982375,1.130585e-08
49.464,0.0,16.2979875,1.20444e-08
49.464,0.0,16.2977375,1.1726300000000002e-08
49.464,0.0,16.2974875,1.300075e-08
49.464,0.0,16.2972375,1.17222e-08
49.464,0.0,16.2969875,1.13969e-08
49.464,0.0,16.2967375,1.1886e-08
49.464,0.0,16.2964875,1.176935e-08
49.464,0.0,16.2962375,1.195745e-08
49.464,0.0,16.2959875,1.14854e-08
49.464,0.0,16.2957375,1.166635e-08
49.464,0.0,16.2954875,1.20953e-08
49.464,0.0,16.2952375,1.168005e-08
49.464,0.0,16.2949875,1.18119e-08
49.464,0.0,16.2947375,1.199945e-08
49.464,0.0,16.2944875,1.171555e-08
49.464,0.0,16.2942375,1.27243e-08
49.464,0.0,16.2939875,1.17439e-08
49.464,0.0,16.2937375,1.15419e-08
49.464,0.0,16.2934875,1.1668e-08
49.464,0.0,16.2932375,1.17258e-08
49.464,0.0,16.2929875,1.151905e-08
49.464,0.0,16.2927375,1.11098e-08
49.464,0.0,16.2924875,1.155075e-08
49.464,0.0,16.2922375,1.15358e-08
49.464,0.0,16.2919875,1.1437e-08
49.464,0.0,16.2917375,1.12434e-08
49.464,0.0,16.2914875,1.11418e-08
49.464,0.0,16.2912375,1.12607e-08
49.464,0.0,16.2909875,1.140815e-08
49.464,0.0,16.2907375,1.134035e-08
49.464,0.0,16.2904875,1.153935e-08
49.464,0.0,16.2902375,1.12434e-08
49.464,0.0,16.2899875,1.1519650000000001e-08
49.464,0.0,16.2897375,1.14545e-08
49.464,0.0,16.2894875,1.12459e-08
49.464,0.0,16.2892375,1.14033e-08
49.464,0.0,16.2889875,1.113375e-08
49.464,0.0,16.2887375,1.146435e-08
49.464,0.0,16.2884875,1.12632e-08
49.464,0.0,16.2882375,1.180715e-08
49.464,0.0,16.2879875,1.12106e-08
49.464,0.0,16.2877375,1.17194e-08
49.464,0.0,16.2874875,1.29335e-08
49.464,0.0,16.2872375,1.14099e-08
49.464,0.0,16.2869875,1.15469e-08
49.464,0.0,16.2867375,1.14008e-08
49.464,0.0,16.2864875,1.18825e-08
49.464,0.0,16.2862375,1.20551e-08
49.464,0.0,16.2859875,1.1211e-08
49.464,0.0,16.2857375,1.14354e-08
49.464,0.0,16.2854875,1.15559e-08
49.464,0.0,16.2852375,1.164755e-08
