True_depth(m),Y_dimension(mm),meas,Button,Button_raw
19.1187953125,50.518,3.65784e-11,1.0,0.0
19.1185453125,50.518,6.0952e-11,1.0,0.0
19.1182953125,50.518,1.1850750000000002e-10,1.0,0.0
19.1180453125,50.518,7.46652e-11,1.0,0.0
19.1177953125,50.518,7.17082e-10,1.0,0.0
19.1175453125,50.518,2.914265e-10,1.0,0.0
19.1172953125,50.518,6.66982e-10,1.0,0.0
19.1170453125,50.518,5.88836e-10,1.0,0.0
19.1167953125,50.518,6.899885e-10,1.0,0.0
19.1165453125,50.518,6.86667e-10,1.0,0.0
19.1162953125,50.518,4.45246e-10,1.0,0.0
19.1160453125,50.518,4.756375e-10,1.0,0.0
19.1157953125,50.518,2.16412e-10,1.0,0.0
19.1155453125,50.518,5.49591e-10,1.0,0.0
19.1152953125,50.518,3.4347849999999997e-10,1.0,0.0
19.1150453125,50.518,2.135155e-10,1.0,0.0
19.1147953125,50.518,3.72323e-10,1.0,0.0
19.1145453125,50.518,2.6913999999999996e-10,1.0,0.0
19.1142953125,50.518,6.67869e-10,1.0,0.0
19.1140453125,50.518,5.85955e-10,1.0,0.0
19.1137953125,50.518,8.827775e-10,1.0,0.0
19.1135453125,50.518,1.14586e-09,1.0,0.0
19.1132953125,50.518,1.43035e-09,1.0,0.0
19.1130453125,50.518,1.0705715e-09,1.0,0.0
19.1127953125,50.518,1.63813e-09,1.0,0.0
19.1125453125,50.518,1.68617e-09,1.0,0.0
19.1122953125,50.518,2.05638e-09,1.0,0.0
19.1120453125,50.518,2.155995e-09,1.0,0.0
19.1117953125,50.518,2.26105e-09,1.0,0.0
19.1115453125,50.518,2.364075e-09,1.0,0.0
19.1112953125,50.518,2.30445e-09,1.0,0.0
19.1110453125,50.518,2.5156099999999998e-09,1.0,0.0
19.1107953125,50.518,2.8391e-09,1.0,0.0
19.1105453125,50.518,2.941005e-09,1.0,0.0
19.1102953125,50.518,2.76757e-09,1.0,0.0
19.1100453125,50.518,2.99691e-09,1.0,0.0
19.1097953125,50.518,3.92109e-09,1.0,0.0
19.1095453125,50.518,3.18165e-09,1.0,0.0
19.1092953125,50.518,3.283745e-09,1.0,0.0
19.1090453125,50.518,3.530825e-09,1.0,0.0
19.1087953125,50.518,3.76869e-09,1.0,0.0
19.1085453125,50.518,4.385625e-09,1.0,0.0
19.1082953125,50.518,4.86163e-09,1.0,0.0
19.1080453125,50.518,5.31557e-09,1.0,0.0
19.1077953125,50.518,4.89351e-09,1.0,0.0
19.1075453125,50.518,4.293215e-09,1.0,0.0
19.1072953125,50.518,3.596055e-09,1.0,0.0
19.1070453125,50.518,2.60838e-09,1.0,0.0
19.1067953125,50.518,2.12696e-09,1.0,0.0
19.1065453125,50.518,1.7862349999999999e-09,1.0,0.0
19.1062953125,50.518,1.59742e-09,1.0,0.0
19.1060453125,50.518,1.60429e-09,1.0,0.0
19.1057953125,50.518,1.73659e-09,1.0,0.0
19.1055453125,50.518,1.13676e-09,1.0,0.0
19.1052953125,50.518,1.5962e-09,1.0,0.0
19.1050453125,50.518,2.79662e-09,1.0,0.0
19.1047953125,50.518,3.41185e-09,1.0,0.0
19.1045453125,50.518,4.21351e-09,1.0,0.0
19.1042953125,50.518,4.45409e-09,1.0,0.0
19.1040453125,50.518,4.360085e-09,1.0,0.0
19.1037953125,50.518,4.2765e-09,1.0,0.0
19.1035453125,50.518,4.179035e-09,1.0,0.0
19.1032953125,50.518,4.0316200000000014e-09,1.0,0.0
19.1030453125,50.518,4.808945e-09,1.0,0.0
19.1027953125,50.518,4.28658e-09,1.0,0.0
19.1025453125,50.518,4.61693e-09,1.0,0.0
19.1022953125,50.518,5.06024e-09,1.0,0.0
19.1020453125,50.518,5.63314e-09,1.0,0.0
19.1017953125,50.518,5.954815e-09,1.0,0.0
19.1015453125,50.518,6.36391e-09,1.0,0.0
19.1012953125,50.518,6.517305e-09,1.0,0.0
19.1010453125,50.518,6.71157e-09,1.0,0.0
19.1007953125,50.518,6.19021e-09,1.0,0.0
19.1005453125,50.518,6.33363e-09,1.0,0.0
19.1002953125,50.518,5.866645e-09,1.0,0.0
19.1000453125,50.518,5.442225e-09,1.0,0.0
19.0997953125,50.518,5.09307e-09,1.0,0.0
19.0995453125,50.518,4.9843349999999994e-09,1.0,0.0
19.0992953125,50.518,4.69296e-09,1.0,0.0
19.0990453125,50.518,4.712255e-09,1.0,0.0
19.0987953125,50.518,4.85838e-09,1.0,0.0
19.0985453125,50.518,4.61903e-09,1.0,0.0
19.0982953125,50.518,4.6585449999999994e-09,1.0,0.0
19.0980453125,50.518,4.73736e-09,1.0,0.0
19.0977953125,50.518,4.64371e-09,1.0,0.0
19.0975453125,50.518,4.4235750000000014e-09,1.0,0.0
19.0972953125,50.518,4.5203650000000015e-09,1.0,0.0
19.0970453125,50.518,4.38041e-09,1.0,0.0
19.0967953125,50.518,5.04544e-09,1.0,0.0
19.0965453125,50.518,5.228145e-09,1.0,0.0
19.0962953125,50.518,6.85474e-09,1.0,0.0
19.0960453125,50.518,8.67122e-09,1.0,0.0
19.0957953125,50.518,1.07116e-08,1.0,0.0
19.0955453125,50.518,1.11272e-08,1.0,0.0
19.0952953125,50.518,1.06809e-08,1.0,0.0
19.0950453125,50.518,1.112735e-08,1.0,0.0
19.0947953125,50.518,1.17743e-08,1.0,0.0
19.0945453125,50.518,1.394875e-08,1.0,0.0
19.0942953125,50.518,1.447435e-08,1.0,0.0
19.0940453125,50.518,1.42668e-08,1.0,0.0
19.0937953125,50.518,1.466825e-08,1.0,0.0
19.0935453125,50.518,1.417445e-08,1.0,0.0
19.0932953125,50.518,1.36635e-08,1.0,0.0
19.0930453125,50.518,1.42835e-08,1.0,0.0
19.0927953125,50.518,1.40539e-08,1.0,0.0
19.0925453125,50.518,1.41507e-08,1.0,0.0
19.0922953125,50.518,1.398475e-08,1.0,0.0
19.0920453125,50.518,1.40367e-08,1.0,0.0
19.0917953125,50.518,1.386255e-08,1.0,0.0
19.0915453125,50.518,1.379555e-08,1.0,0.0
19.0912953125,50.518,1.39723e-08,1.0,0.0
19.0910453125,50.518,1.35584e-08,1.0,0.0
