True_depth(m),Y_dimension(mm),meas,Button,Button_raw
13.627109375,55.088,2.695105e-11,1.0,0.0
13.626859375,55.088,-3.606945e-11,1.0,0.0
13.626609375,55.088,3.0356865e-10,1.0,0.0
13.626359375,55.088,-6.5846e-11,1.0,0.0
13.626109375,55.088,-1.16208e-10,1.0,0.0
13.625859375,55.088,-4.0740300000000005e-11,1.0,0.0
13.625609375,55.088,-7.141975e-11,1.0,0.0
13.625359375,55.088,4.27489e-11,1.0,0.0
13.625109375,55.088,-5.20481e-11,1.0,0.0
13.624859375,55.088,-2.206415e-10,1.0,0.0
13.624609375,55.088,-1.093095e-10,1.0,0.0
13.624359375,55.088,3.87544e-11,1.0,0.0
13.624109375,55.088,2.61373e-12,1.0,0.0
13.623859375,55.088,-6.34687e-11,1.0,0.0
13.623609375,55.088,-6.149775e-11,1.0,0.0
13.623359375,55.088,1.61252e-11,1.0,0.0
13.623109375,55.088,6.628445e-11,1.0,0.0
13.622859375,55.088,1.31316e-10,1.0,0.0
13.622609375,55.088,-2.8397185000000004e-11,1.0,0.0
13.622359375,55.088,1.7847500000000013e-12,1.0,0.0
13.622109375,55.088,-1.52591e-10,1.0,0.0
13.621859375,55.088,-4.95094e-11,1.0,0.0
13.621609375,55.088,-4.02895e-11,1.0,0.0
13.621359375,55.088,-9.740805e-11,1.0,0.0
13.621109375,55.088,1.45649e-11,1.0,0.0
13.620859375,55.088,-6.154995e-11,1.0,0.0
13.620609375,55.088,-1.538414e-10,1.0,0.0
13.620359375,55.088,-1.03111e-10,1.0,0.0
13.620109375,55.088,1.637995e-11,1.0,0.0
13.619859375,55.088,-1.57602e-11,1.0,0.0
13.619609375,55.088,-4.799225e-11,1.0,0.0
13.619359375,55.088,1.5998965000000003e-10,1.0,0.0
13.619109375,55.088,-4.72331e-10,1.0,0.0
13.618859375,55.088,4.82334e-11,1.0,0.0
13.618609375,55.088,8.5795e-13,1.0,0.0
13.618359375,55.088,-7.144815e-11,1.0,0.0
13.618109375,55.088,-1.42403e-10,1.0,0.0
13.617859375,55.088,-2.037445e-10,1.0,0.0
13.617609375,55.088,-7.48268e-11,1.0,0.0
13.617359375,55.088,-9.90676e-11,1.0,0.0
13.617109375,55.088,3.116835e-11,1.0,0.0
13.616859375,55.088,5.53792e-11,1.0,0.0
13.616609375,55.088,-6.36118e-11,1.0,0.0
13.616359375,55.088,2.655497e-11,1.0,0.0
13.616109375,55.088,-8.45115e-12,1.0,0.0
13.615859375,55.088,-1.1563585e-10,1.0,0.0
13.615609375,55.088,-1.506839e-10,1.0,0.0
13.615359375,55.088,-1.27067e-10,1.0,0.0
13.615109375,55.088,-1.022272e-10,1.0,0.0
13.614859375,55.088,-3.22291e-11,1.0,0.0
13.614609375,55.088,-1.931095e-10,1.0,0.0
13.614359375,55.088,-3.17674e-11,1.0,0.0
13.614109375,55.088,-5.028950000000001e-12,1.0,0.0
13.613859375,55.088,-1.6093649999999998e-10,1.0,0.0
13.613609375,55.088,-8.919065e-11,1.0,0.0
13.613359375,55.088,-1.51186e-10,1.0,0.0
13.613109375,55.088,-1.21836e-10,1.0,0.0
13.612859375,55.088,-6.47423e-11,1.0,0.0
13.612609375,55.088,-7.362319899999999e-11,1.0,0.0
13.612359375,55.088,-4.07661e-11,1.0,0.0
13.612109375,55.088,-1.53797e-10,1.0,0.0
13.611859375,55.088,4.43885e-11,1.0,0.0
13.611609375,55.088,-1.7641199999999998e-10,1.0,0.0
13.611359375,55.088,-2.69485e-10,1.0,0.0
13.611109375,55.088,-1.2095965e-10,1.0,0.0
13.610859375,55.088,-8.55215e-11,1.0,0.0
13.610609375,55.088,-1.80635e-10,1.0,0.0
13.610359375,55.088,-1.83482e-10,1.0,0.0
13.610109375,55.088,-2.487235e-10,1.0,0.0
13.609859375,55.088,-2.299085e-10,1.0,0.0
13.609609375,55.088,-1.88454e-10,1.0,0.0
13.609359375,55.088,-2.09815e-10,1.0,0.0
13.609109375,55.088,-2.16665e-10,1.0,0.0
13.608859375,55.088,-1.2671994999999999e-10,1.0,0.0
13.608609375,55.088,-3.02673e-10,1.0,0.0
13.608359375,55.088,-2.39214e-11,1.0,0.0
13.608109375,55.088,-2.51153e-10,1.0,0.0
13.607859375,55.088,-2.897005e-10,1.0,0.0
13.607609375,55.088,-1.8017899999999998e-10,1.0,0.0
13.607359375,55.088,-2.20299e-10,1.0,0.0
13.607109375,55.088,-3.2241949999999995e-10,1.0,0.0
13.606859375,55.088,-1.24511e-10,1.0,0.0
13.606609375,55.088,-3.51416e-10,1.0,0.0
13.606359375,55.088,-2.3842e-10,1.0,0.0
13.606109375,55.088,-2.130665e-10,1.0,0.0
13.605859375,55.088,-4.54053e-10,1.0,0.0
13.605609375,55.088,-2.84074e-10,1.0,0.0
13.605359375,55.088,-2.29426e-10,1.0,0.0
13.605109375,55.088,-2.565735e-10,1.0,0.0
13.604859375,55.088,-4.52622e-10,1.0,0.0
13.604609375,55.088,-2.35461e-10,1.0,0.0
13.604359375,55.088,-3.27698e-10,1.0,0.0
13.604109375,55.088,-3.940565e-10,1.0,0.0
13.603859375,55.088,-2.31548e-10,1.0,0.0
13.603609375,55.088,-2.176235e-10,1.0,0.0
13.603359375,55.088,-3.04233e-10,1.0,0.0
13.603109375,55.088,-3.436985e-10,1.0,0.0
13.602859375,55.088,-3.016225e-10,1.0,0.0
13.602609375,55.088,-6.84981e-11,1.0,0.0
13.602359375,55.088,-3.39871e-10,1.0,0.0
13.602109375,55.088,-3.42354e-10,1.0,0.0
13.601859375,55.088,-1.4649599999999998e-10,1.0,0.0
13.601609375,55.088,-2.55079e-10,1.0,0.0
13.601359375,55.088,-2.36487e-10,1.0,0.0
13.601109375,55.088,-2.13237e-10,1.0,0.0
13.600859375,55.088,-7.76586e-11,1.0,0.0
13.600609375,55.088,-9.373594999999999e-11,1.0,0.0
13.600359375,55.088,-3.84715e-11,1.0,0.0
13.600109375,55.088,-5.933299999999999e-11,1.0,0.0
13.599859375,55.088,-6.50283e-11,1.0,0.0
13.599609375,55.088,4.14445e-11,1.0,0.0
13.599359375,55.088,1.51377e-10,1.0,0.0
13.599109375,55.088,-9.6547395e-11,1.0,0.0
13.598859375,55.088,5.873685e-11,1.0,0.0
13.598609375,55.088,-1.07863e-10,1.0,0.0
13.598359375,55.088,2.53454e-10,1.0,0.0
13.598109375,55.088,-1.1169254999999999e-10,1.0,0.0
13.597859375,55.088,1.699667e-10,1.0,0.0
13.597609375,55.088,7.51468e-11,1.0,0.0
13.597359375,55.088,3.18509e-10,1.0,0.0
13.597109375,55.088,7.09586e-11,1.0,0.0
13.596859375,55.088,2.380115e-10,1.0,0.0
13.596609375,55.088,1.85838e-10,1.0,0.0
13.596359375,55.088,9.823865e-11,1.0,0.0
13.596109375,55.088,7.798425000000001e-11,1.0,0.0
13.595859375,55.088,-2.07314e-10,1.0,0.0
13.595609375,55.088,-7.74265e-13,1.0,0.0
13.595359375,55.088,-1.5193999999999977e-12,1.0,0.0
13.595109375,55.088,2.31379e-11,1.0,0.0
13.594859375,55.088,-8.4273e-11,1.0,0.0
13.594609375,55.088,-9.65952e-11,1.0,0.0
13.594359375,55.088,4.3747355e-11,1.0,0.0
13.594109375,55.088,2.7341251e-10,1.0,0.0
13.593859375,55.088,5.18489e-10,1.0,0.0
