Y_dimension(mm),Button,True_depth(m),meas
50.793,0.0,14.4815671875,1.497145e-08
50.793,0.0,14.4813171875,1.513825e-08
50.793,0.0,14.4810671875,1.50494e-08
50.793,0.0,14.4808171875,1.47807e-08
50.793,0.0,14.4805671875,1.502015e-08
50.793,0.0,14.4803171875,1.543695e-08
50.793,0.0,14.4800671875,1.49979e-08
50.793,0.0,14.4798171875,1.57399e-08
50.793,0.0,14.4795671875,1.560725e-08
50.793,0.0,14.4793171875,1.57008e-08
50.793,0.0,14.4790671875,1.59661e-08
50.793,0.0,14.4788171875,1.600565e-08
50.793,0.0,14.4785671875,1.55864e-08
50.793,0.0,14.4783171875,1.6100450000000003e-08
50.793,0.0,14.4780671875,1.64269e-08
50.793,0.0,14.4778171875,1.622645e-08
50.793,0.0,14.4775671875,1.6183650000000002e-08
50.793,0.0,14.4773171875,1.60542e-08
50.793,0.0,14.4770671875,1.616555e-08
50.793,0.0,14.4768171875,1.633885e-08
50.793,0.0,14.4765671875,1.66657e-08
50.793,0.0,14.476317187500001,1.61674e-08
50.793,0.0,14.4760671875,1.64519e-08
50.793,0.0,14.4758171875,1.632765e-08
50.793,0.0,14.475567187500001,1.6423750000000002e-08
50.793,0.0,14.4753171875,1.6641e-08
50.793,0.0,14.4750671875,1.60157e-08
50.793,0.0,14.474817187500001,1.6618950000000002e-08
50.793,0.0,14.4745671875,1.55531e-08
50.793,0.0,14.4743171875,1.619075e-08
50.793,0.0,14.474067187500001,1.5954200000000003e-08
50.793,0.0,14.4738171875,1.6268e-08
50.793,0.0,14.4735671875,1.6895650000000002e-08
50.793,0.0,14.473317187500001,1.65812e-08
50.793,0.0,14.4730671875,1.65088e-08
50.793,0.0,14.4728171875,1.647705e-08
50.793,0.0,14.472567187500001,1.6629850000000002e-08
50.793,0.0,14.4723171875,1.6988e-08
50.793,0.0,14.4720671875,1.64117e-08
50.793,0.0,14.471817187500001,1.6575299999999998e-08
50.793,0.0,14.4715671875,1.66629e-08
50.793,0.0,14.4713171875,1.65509e-08
50.793,0.0,14.471067187500001,1.65929e-08
50.793,0.0,14.4708171875,1.64509e-08
50.793,0.0,14.4705671875,1.66905e-08
50.793,0.0,14.470317187500001,1.65607e-08
50.793,0.0,14.4700671875,1.651345e-08
50.793,0.0,14.4698171875,1.71889e-08
50.793,0.0,14.469567187500001,1.67741e-08
50.793,0.0,14.4693171875,1.63293e-08
50.793,0.0,14.4690671875,1.68138e-08
50.793,0.0,14.468817187500001,1.713755e-08
50.793,0.0,14.4685671875,1.6852e-08
50.793,0.0,14.4683171875,1.668045e-08
50.793,0.0,14.4680671875,1.65165e-08
