Y_dimension(mm),Button,True_depth(m),meas
42.557,1.0,41.6553671875,1.774234e-05
42.557,1.0,41.65531654282724,-3.559762e-06
42.557,1.0,41.65519652790811,-2.602741e-06
42.557,1.0,41.65505919345654,-1.997832e-06
42.557,1.0,41.65488798926989,-1.542547e-06
42.557,1.0,41.65465343960098,-1.190492e-06
42.557,1.0,41.65438701289972,-9.184587e-07
42.557,1.0,41.65408790959804,-7.080962e-07
42.557,1.0,41.65374062912279,-5.430047e-07
42.557,1.0,41.65336451827107,-4.159665e-07
42.557,1.0,41.65295795477756,-3.143068e-07
42.557,1.0,41.65251320080715,-1.829467e-07
42.557,1.0,41.65210282466418,-1.560984e-07
42.557,1.0,41.65166809387001,-1.172884e-07
42.557,1.0,41.651268834862854,-8.002098e-08
42.557,1.0,41.65086737173449,-2.076558e-08
42.557,1.0,41.65042775126755,-3.623427e-09
42.557,1.0,41.649990887092315,5.864422e-09
42.557,1.0,41.649560401797174,3.623427e-09
42.557,1.0,41.64915793808509,1.51631e-08
42.557,1.0,41.64873116369977,1.314038e-08
42.557,1.0,41.648326358371676,2.257002e-08
42.557,1.0,41.647886642391434,3.515743e-08
42.557,1.0,41.64747031711616,4.605681e-08
42.557,1.0,41.64705862197217,4.719186e-08
42.557,1.0,41.646649030035725,4.537287e-08
42.557,1.0,41.64625208254955,5.286711e-08
42.557,1.0,41.64581596225709,6.522168e-08
42.557,1.0,41.645410252739424,6.434857e-08
42.557,1.0,41.64499823693661,6.447954e-08
42.557,1.0,41.64455581521156,7.719791e-08
42.557,1.0,41.64415147781601,6.690971e-08
42.557,1.0,41.643752427728884,7.641211e-08
42.557,1.0,41.64332619207627,8.352799e-08
42.557,0.0,41.64291798841573,8.501229e-08
42.557,0.0,41.642487789259015,7.805647e-08
42.557,0.0,41.64206329650524,7.697963e-08
42.557,0.0,41.641655424396525,8.333882e-08
42.557,0.0,41.64123566650927,8.687493e-08
42.557,0.0,41.640818226630984,8.157804e-08
42.557,0.0,41.640385964525585,6.99074e-08
42.557,0.0,41.63997167268666,7.610652e-08
